"GEOID","NAME","mediancomeE","mediancomeM","valueE","valueM","medianyearbuiltE","medianyearbuiltM","NoVehicleE","NoVehicleM"
"20181453700","Census Tract 4537; Sherman County; Kansas",52305,13916,NA,NA,1965,6,58,56
"20183475800","Census Tract 4758; Smith County; Kansas",50725,3015,67346100,9115756,1957,5,19,13
"20183475900","Census Tract 4759; Smith County; Kansas",51932,11338,74835900,9995773,1940,7,8,9
"20185470600","Census Tract 4706; Stafford County; Kansas",60156,10604,NA,NA,1956,5,28,23
"20185470700","Census Tract 4707; Stafford County; Kansas",59875,7847,97554600,17898987,1945,4,2,3
"20187964100","Census Tract 9641; Stanton County; Kansas",66000,3833,NA,NA,1967,6,14,16
"20189965100","Census Tract 9651; Stevens County; Kansas",95192,19131,56987300,17437797,1979,5,13,18
"20189965200","Census Tract 9652; Stevens County; Kansas",63729,6981,142819300,24334711,1970,6,56,30
"20191962100","Census Tract 9621; Sumner County; Kansas",71875,16452,NA,NA,1973,6,18,19
"20191962200","Census Tract 9622; Sumner County; Kansas",69393,4834,337258100,67251467,1974,4,43,21
"20191962300","Census Tract 9623; Sumner County; Kansas",63654,7632,NA,NA,1953,3,19,13
"20191962400","Census Tract 9624; Sumner County; Kansas",65109,13670,141965700,25203497,1963,5,35,44
"20191962500","Census Tract 9625; Sumner County; Kansas",44210,6700,82006500,14787177,1956,9,111,64
"20191962600","Census Tract 9626; Sumner County; Kansas",53964,7671,105065100,13686708,1974,6,55,36
"20193953100","Census Tract 9531; Thomas County; Kansas",63908,7893,282528400,45903063,1969,4,50,53
"20193953400","Census Tract 9534; Thomas County; Kansas",84545,10591,NA,NA,1959,5,15,18
"20195955800","Census Tract 9558; Trego County; Kansas",77500,18550,NA,NA,1963,4,25,16
"20197483100","Census Tract 4831; Wabaunsee County; Kansas",67589,8781,295419700,56650494,1958,11,29,17
"20197483200","Census Tract 4832; Wabaunsee County; Kansas",72803,6333,NA,NA,1972,7,16,19
"20199954100","Census Tract 9541; Wallace County; Kansas",57708,10523,NA,NA,1964,5,24,15
"20201978600","Census Tract 9786; Washington County; Kansas",56719,7170,202264800,83461872,1952,6,28,27
"20201978700","Census Tract 9787; Washington County; Kansas",60917,3874,144304600,48210105,1954,4,24,12
"20203957600","Census Tract 9576; Wichita County; Kansas",69551,10062,NA,NA,1970,4,13,19
"20205097100","Census Tract 971; Wilson County; Kansas",55167,8401,NA,NA,1972,5,5,6
"20205097200","Census Tract 972; Wilson County; Kansas",63125,10676,71775400,12720076,1977,4,47,29
"20205097300","Census Tract 973; Wilson County; Kansas",51188,10829,NA,NA,1965,5,49,30
"20205097400","Census Tract 974; Wilson County; Kansas",52386,15903,NA,NA,1958,13,40,29
